UniqueID,UsageFrequency,TotalDuration,AverageDuration,TimeSinceLastUse,FirstBorrowDate,CurrentAge,NumericalFrequency,EstimatedUsefulLife,RemainingUsefulLife,CalibrationDue,NextCalibrationDate,NextMaintenanceDate,DepreciationDate,PredictedRUL,EquipmentHealth
ENB205PDPSDE306,1,5.75,5.75,319.34195030857643,2023-11-09,0.8733744010951403,1.0,10.0,9.126625598904859,,2025-09-23 08:12:24.506661,2025-09-23,2033-11-09,9.095414099931553,90.95414099931553
ENB205PDPSDE307,1,1.5,1.5,319.34195030857643,2023-11-09,0.8733744010951403,1.0,10.0,9.126625598904859,,2025-09-23 08:12:24.506661,2025-09-23,2033-11-09,9.095414099931553,90.95414099931553
ENB205PDPSDE308,1,4.5,4.5,319.34195030857643,2023-11-09,0.8733744010951403,1.0,10.0,9.126625598904859,,2025-09-23 08:12:24.506661,2025-09-23,2033-11-09,9.095414099931553,90.95414099931553
ENB205PDPSDE309,1,3.75,3.75,319.34195030857643,2023-11-09,0.8733744010951403,1.0,10.0,9.126625598904859,,2025-09-23 08:12:24.506661,2025-09-23,2033-11-09,9.095414099931553,90.95414099931553
ENB205PDTPK1,1,3.0,3.0,2226.3419503085765,2018-08-20,6.094455852156058,1.0,10.0,3.9055441478439423,,2025-09-23 08:12:24.506661,2025-09-23,2028-08-20,3.025325119780972,30.253251197809718
ENB205PEX4HL94,245,5517.499999996,22.52040816324898,258.34195030857643,2018-01-03,6.721423682409308,2.0,7.0,0.2785763175906917,,2025-09-23 08:12:24.506661,2025-03-24,2025-01-03,0.2785763175906917,3.979661679867024
ENB205PIBJBK32,245,8148.599999653,33.25959183531837,262.34195030857643,2018-01-03,6.721423682409308,2.0,7.0,0.2785763175906917,,2025-09-23 08:12:24.506661,2025-03-24,2025-01-03,0.22286105407255336,3.1837293438936194
ENB205PII1,2,11.0,5.5,2279.3419503085765,2018-06-28,6.239561943874059,2.0,10.0,3.760438056125941,,2025-09-23 08:12:24.506661,2025-03-24,2028-06-28,3.71937029431896,37.1937029431896
ENB205PMETETEKD1,32,83.43333332899999,2.6072916665312498,1757.3419503085763,2018-01-03,6.721423682409308,1.0,10.0,3.2785763175906917,,2025-09-23 08:12:24.506661,2025-09-23,2028-01-03,3.3596167008898012,33.596167008898014
ENB205PMP1,26,1475.083333331,56.733974358884616,319.34195030857643,2018-03-04,6.5571526351813825,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-04,0.0,0.0
ENB205PMP2,26,3107.2666666650002,119.51025641019231,319.34195030857643,2018-03-04,6.5571526351813825,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-04,0.0,0.0
ENB205PMP3,26,2820.7333333320003,108.48974358969232,319.34195030857643,2018-03-09,6.543463381245722,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-09,0.0,0.0
ENB205PMP4,26,2057.7666666659998,79.14487179484614,319.34195030857643,2018-03-09,6.543463381245722,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-09,0.0,0.0
ENB205PMP5,26,1749.499999999,67.28846153842308,319.34195030857643,2018-03-09,6.543463381245722,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-09,0.0,0.0
ENB205PMP6,25,1499.483333331,59.97933333324,319.34195030857643,2018-03-09,6.543463381245722,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-09,0.0,0.0
ENB205PS1,11,48.233333333,4.384848484818182,2012.3419503085763,2018-02-11,6.614647501711157,1.0,10.0,3.385352498288843,,2025-09-23 08:12:24.506661,2025-09-23,2028-02-11,3.446680355920603,34.46680355920603
ENB205PS2,11,27.433333333,2.493939393909091,1916.3419503085763,2018-02-11,6.614647501711157,1.0,10.0,3.385352498288843,,2025-09-23 08:12:24.506661,2025-09-23,2028-02-11,3.446132785763176,34.46132785763176
ENB205PS3,11,77.55,7.05,1916.3419503085763,2018-05-11,6.3709787816564,1.0,10.0,3.6290212183436,,2025-09-23 08:12:24.506661,2025-09-23,2028-05-11,3.5616700889801507,35.61670088980151
ENB205PS4,10,52.633333332999996,5.263333333299999,2036.3419503085763,2018-05-11,6.3709787816564,1.0,10.0,3.6290212183436,,2025-09-23 08:12:24.506661,2025-09-23,2028-05-11,3.5671457905544144,35.671457905544145
ENB205PSDL140371,11,33.783333333,3.0712121211818184,261.34195030857643,2018-02-05,6.631074606433949,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-02-05,0.0,0.0
ENB205PSXBS051,10,48.466666666,4.8466666666,343.34195030857643,2018-02-05,6.631074606433949,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-02-05,0.0,0.0
ENB205PSXBS0510,10,20.716666666000002,2.0716666666,339.34195030857643,2018-02-09,6.620123203285421,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-02-09,0.0,0.0
ENB205PSXBS0511,10,34.216666666,3.4216666666,338.34195030857643,2018-02-09,6.620123203285421,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-02-09,0.0,0.0
ENB205PSXBS0512,10,62.383333332999996,6.2383333333,337.34195030857643,2018-02-09,6.620123203285421,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-02-09,0.0,0.0
ENB205PSXBS0513,10,88.39999999899999,8.839999999899998,319.34195030857643,2018-03-09,6.543463381245722,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-09,0.0,0.0
ENB205PSXBS0514,10,18.733333333,1.8733333333000002,319.34195030857643,2018-03-09,6.543463381245722,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-09,0.0,0.0
ENB205PSXBS0515,10,18.95,1.895,319.34195030857643,2018-03-09,6.543463381245722,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-09,0.0,0.0
ENB205PSXBS0516,10,18.25,1.825,319.34195030857643,2018-03-09,6.543463381245722,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-09,0.0,0.0
ENB205PSXBS0517,10,20.85,2.085,319.34195030857643,2018-04-04,6.4722792607802875,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-04,0.0,0.0
ENB205PSXBS0518,10,12.033333333,1.2033333333,319.34195030857643,2018-04-04,6.4722792607802875,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-04,0.0,0.0
ENB205PSXBS0519,10,20.75,2.075,319.34195030857643,2018-04-04,6.4722792607802875,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-04,0.0,0.0
