UniqueID,UsageFrequency,TotalDuration,AverageDuration,TimeSinceLastUse,FirstBorrowDate,CurrentAge,NumericalFrequency,EstimatedUsefulLife,RemainingUsefulLife,CalibrationDue,NextCalibrationDate,NextMaintenanceDate,DepreciationDate,PredictedRUL,HealthPercentage,MAE,RMSE,R-squared,F-statistic
ENB205UC26,4,31.5,7.875,460.3419503085764,2018-10-12,5.949349760438056,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-10-12,0.43337693049553705,8.667538609910741,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC27,4,12.55,3.1375,460.3419503085764,2018-10-15,5.94113620807666,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-10-15,0.4539816597351787,9.079633194703574,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC28,4,11.4,2.85,460.3419503085764,2018-10-16,5.938398357289528,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-10-16,0.45724685452201674,9.144937090440335,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC29,4,13.316666667,3.32916666675,460.3419503085764,2018-10-16,5.938398357289528,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-10-16,0.4559102398324293,9.118204796648586,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC3,5,11.166666667000001,2.2333333334,460.3419503085764,2018-03-26,6.496919917864476,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-26,-0.04950488993006674,-0.990097798601335,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC30,4,33.266666667,8.31666666675,460.3419503085764,2018-10-16,5.938398357289528,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-10-16,0.44199782432670975,8.839956486534195,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC4,5,14.966666666,2.9933333332,460.3419503085764,2018-03-27,6.494182067077344,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-27,-0.049056327681735734,-0.9811265536347147,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC5,5,31.566666667,6.3133333334,460.3419503085764,2018-04-27,6.409308692676249,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-27,0.018502778055570435,0.3700555611114087,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC6,5,8.183333333,1.6366666666,460.3419503085764,2018-04-27,6.409308692676249,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-27,0.030900028962803194,0.6180005792560639,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC7,5,20.883333333,4.1766666666,460.3419503085764,2018-04-27,6.409308692676249,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-27,0.02416681072257365,0.483336214451473,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
